Date,ChangeTemperature,ChangePrecipitation,Hotspots,Temperature,Precipitation,Story
October 2003,-1.51%,-14.18%,33463,21.926,20.6634,
November 2003,2.97%,-7.84%,29678,25.8132,29.5972,
December 2003,3.96%,23.63%,8484,27.9301,64.9195,
January 2004,2.11%,21.52%,5037,28.2604,92.9686,
February 2004,3.49%,40.93%,1926,28.041,106.405,
March 2004,1.36%,1.90%,5210,25.5965,58.5586,
April 2004,5.45%,-19.34%,14801,22.8239,23.5666,
May 2004,0.36%,23.89%,15203,17.7738,33.5211,
June 2004,5.83%,-21.58%,15291,15.5725,20.1281,
July 2004,3.41%,-23.91%,16730,14.3299,17.3305,
August 2004,0.01%,-9.81%,20654,15.6069,16.911,
September 2004,-0.41%,-14.92%,43446,18.7627,14.6568,
October 2004,8.57%,-31.60%,83504,24.1704,16.4698,
November 2004,1.40%,-1.11%,52205,25.4206,31.7589,
December 2004,2.01%,4.29%,23317,27.4068,54.7673,
January 2005,2.24%,-18.49%,7889,28.2958,62.3615,
February 2005,2.45%,-54.25%,7684,27.7587,34.5384,
March 2005,4.79%,-43.78%,6709,26.4619,32.3065,
April 2005,12.53%,-67.75%,16177,24.3568,9.42306,
May 2005,8.02%,-31.19%,22677,19.1301,18.6174,
June 2005,7.50%,60.65%,12445,15.8177,41.2353,
July 2005,8.46%,-5.56%,13193,15.0296,21.51,
August 2005,2.87%,11.43%,14927,16.0535,20.8935,
September 2005,5.99%,24.06%,17624,19.9697,21.3719,
October 2005,5.62%,55.15%,25170,23.5146,37.3574,
November 2005,3.19%,17.46%,19450,25.8671,37.723,
December 2005,3.54%,0.82%,16157,27.8167,52.9454,
January 2006,4.68%,61.23%,5913,28.972,123.351,
February 2006,2.03%,-31.72%,3128,27.6461,51.5525,
March 2006,3.14%,54.98%,3735,26.0453,89.0665,
April 2006,-2.43%,99.90%,12166,21.1194,58.4034,
May 2006,-4.54%,-62.52%,16544,16.9052,10.1418,
June 2006,-6.16%,-42.27%,13455,13.8069,14.8183,
July 2006,1.03%,14.19%,12054,13.9996,26.006,
August 2006,6.87%,-59.44%,31727,16.6777,7.60415,
September 2006,7.01%,-22.82%,41518,20.1605,13.2967,
October 2006,7.30%,-67.99%,36197,23.8873,7.7072,
November 2006,6.30%,-43.02%,78356,26.648,18.2988,
December 2006,0.67%,-24.47%,34505,27.0462,39.6613,
January 2007,0.46%,40.77%,8574,27.8036,107.696,
February 2007,5.86%,-37.14%,7454,28.6834,47.4567,
March 2007,2.64%,41.18%,3440,25.9193,81.1344,
April 2007,4.95%,-40.02%,8749,22.7155,17.5229,
May 2007,10.34%,-17.01%,12094,19.5421,22.4563,
June 2007,-8.91%,16.42%,10783,13.4035,29.8826,
July 2007,3.06%,-42.56%,16090,14.281,13.082,
August 2007,6.88%,-27.26%,24531,16.6781,13.6378,
September 2007,6.76%,-50.58%,53820,20.1141,8.51353,
October 2007,6.63%,-23.78%,46809,23.7394,18.3536,
November 2007,2.68%,11.42%,33650,25.7392,35.7837,
December 2007,0.27%,35.71%,15710,26.9396,71.2629,
January 2008,4.65%,-10.32%,8468,28.9641,68.6134,
February 2008,-1.76%,48.38%,1424,26.6182,112.027,
March 2008,2.10%,-43.18%,2878,25.7828,32.6547,
April 2008,-1.30%,-55.97%,15637,21.3636,12.8633,
May 2008,2.65%,-68.78%,21274,18.1799,8.44754,
June 2008,7.27%,-10.55%,9089,15.7838,22.9591,
July 2008,2.88%,3.67%,12181,14.2569,23.6117,
August 2008,-5.18%,-30.31%,19435,14.797,13.0672,
September 2008,7.29%,19.03%,17063,20.2138,20.5054,
October 2008,7.80%,-38.60%,34299,23.9987,14.7834,
November 2008,-0.33%,83.02%,24246,24.9864,58.7764,
December 2008,0.59%,36.13%,7926,27.0258,71.4832,
January 2009,2.06%,74.70%,3134,28.2459,133.659,
February 2009,1.81%,22.92%,4412,27.5856,92.8045,"Black Sunday in Victoria, most devestating bushfires in written record"
March 2009,2.14%,-56.43%,4444,25.7929,25.0386,
April 2009,3.22%,-16.52%,15333,22.3415,24.3906,
May 2009,0.23%,-36.72%,20050,17.7504,17.1227,
June 2009,5.20%,-2.62%,10417,15.4784,24.9955,
July 2009,6.24%,-32.96%,12776,14.722,15.2691,
August 2009,13.69%,-40.04%,17270,17.7415,11.2422,
September 2009,6.56%,-7.82%,23442,20.0771,15.8808,
October 2009,2.26%,-42.39%,51593,22.7646,13.8715,
November 2009,6.89%,-10.33%,46486,26.7958,28.7976,
December 2009,3.45%,20.00%,28107,27.7926,63.0123,
January 2010,2.90%,34.78%,7382,28.4772,103.119,
February 2010,2.97%,35.83%,4833,27.8996,102.551,
March 2010,1.43%,1.06%,5178,25.614,58.0765,
April 2010,6.89%,35.85%,10124,23.1362,39.6915,
May 2010,2.14%,15.69%,12215,18.089,31.3036,
June 2010,2.08%,-46.58%,13485,15.0195,13.7127,
July 2010,5.95%,18.84%,10438,14.6815,27.0671,
August 2010,-0.33%,53.97%,15375,15.553,28.8687,
September 2010,0.26%,139.97%,9150,18.8901,41.3411,
October 2010,-1.44%,102.80%,10804,21.9421,48.8311,
November 2010,-1.87%,85.38%,12243,24.5987,59.5348,
December 2010,-2.01%,85.97%,3133,26.3258,97.6594,
January 2011,3.69%,32.11%,4498,28.6973,101.075,
February 2011,-0.10%,38.82%,2303,27.0687,104.806,
March 2011,-3.10%,116.86%,7805,24.471,124.626,
April 2011,-1.76%,-1.57%,19142,21.2642,28.7586,
May 2011,-6.64%,-35.27%,29165,16.5332,17.5143,
June 2011,-2.87%,-22.98%,21710,14.2911,19.7689,
July 2011,5.07%,-6.20%,20021,14.5596,21.3636,
August 2011,7.33%,-7.14%,51429,16.7487,17.4102,
September 2011,1.46%,-21.31%,113432,19.1151,13.5557,
October 2011,2.54%,36.48%,84485,22.8282,32.8624,
November 2011,1.37%,49.10%,37836,25.4111,47.8853,
December 2011,-1.30%,34.11%,21350,26.5171,70.4251,
January 2012,0.71%,33.61%,18124,27.8721,102.219,
February 2012,-1.28%,-0.79%,12017,26.7473,74.9068,
March 2012,-3.77%,72.73%,4985,24.3011,99.2659,
April 2012,1.07%,-17.82%,23106,21.8773,24.0092,
May 2012,-2.41%,-31.09%,31465,17.2826,18.6466,
June 2012,-2.44%,7.13%,26669,14.3544,27.4982,
July 2012,-1.94%,-20.52%,21970,13.5886,18.1018,
August 2012,2.97%,-51.01%,39083,16.0686,9.18482,
September 2012,6.27%,-35.52%,65706,20.0223,11.1093,
October 2012,4.44%,-52.32%,95075,23.2514,11.4801,
November 2012,5.58%,-13.91%,72649,26.4681,27.6475,
December 2012,4.14%,-17.54%,38195,27.9791,43.3004,
January 2013,6.50%,-17.31%,21892,29.4761,63.2635,Bushfires run through Tasmania
February 2013,2.86%,-20.02%,7047,27.869,60.3871,
March 2013,3.13%,19.90%,4044,26.0435,68.9047,
April 2013,6.08%,-35.70%,15908,22.962,18.7859,
May 2013,6.58%,26.39%,10772,18.8748,34.1994,
June 2013,5.36%,11.54%,11065,15.5021,28.6288,
July 2013,10.92%,-7.24%,13458,15.3706,21.1262,
August 2013,11.10%,-46.33%,17484,17.3374,10.0622,
September 2013,13.60%,-7.30%,20241,21.4029,15.9701,
October 2013,7.19%,-50.62%,26502,23.8622,11.891,
November 2013,2.36%,46.71%,20449,25.6591,47.1176,
December 2013,2.65%,-18.00%,11768,27.5784,43.0585,
January 2014,4.07%,16.76%,13327,28.8017,89.3314,
February 2014,0.77%,24.16%,4979,27.3039,93.7426,
March 2014,3.58%,-39.59%,6293,26.1565,34.7172,
April 2014,6.02%,69.56%,12977,22.9487,49.5392,
May 2014,10.39%,-21.90%,15649,19.5503,21.1328,
June 2014,4.24%,-33.22%,20726,15.3384,17.1411,
July 2014,3.79%,-35.94%,15660,14.3826,14.5893,
August 2014,1.84%,16.12%,27787,15.8921,21.7722,
September 2014,7.22%,-29.36%,33467,20.2009,12.1705,
October 2014,9.65%,-58.71%,51420,24.411,9.9425,
November 2014,7.27%,-6.53%,29796,26.891,30.0185,
December 2014,3.58%,0.01%,11219,27.8269,52.5159,
January 2015,0.57%,58.21%,4500,27.8351,121.044,
February 2015,6.62%,-29.74%,5101,28.8897,53.0465,
March 2015,3.41%,-27.82%,11375,26.1132,41.4801,
April 2015,-2.05%,-0.87%,24569,21.2017,28.9631,
May 2015,-0.25%,-7.06%,31657,17.6659,25.1464,
June 2015,9.39%,-21.30%,13174,16.096,20.1992,
July 2015,3.90%,-26.59%,14755,14.3975,16.7202,
August 2015,4.91%,-5.76%,17745,16.3706,17.6707,
September 2015,1.79%,-48.69%,25070,19.1778,8.83991,
October 2015,11.70%,-54.93%,34729,24.8664,10.852,
November 2015,7.48%,28.61%,35593,26.9433,41.3037,
December 2015,4.21%,8.90%,8636,27.9971,57.1856,
January 2016,2.51%,1.15%,6043,28.3713,77.3908,
February 2016,4.47%,-41.97%,2392,28.306,43.8091,
March 2016,7.03%,21.76%,5549,27.0285,69.9735,
April 2016,9.97%,-43.10%,18968,23.8023,16.6228,
May 2016,11.15%,24.60%,11047,19.6843,33.7134,
June 2016,8.94%,84.04%,10890,16.0292,47.2373,
July 2016,7.26%,56.92%,17723,14.8634,35.7379,
August 2016,3.39%,31.26%,12659,16.1341,24.6104,
September 2016,-0.22%,94.90%,5196,18.8,33.5767,
October 2016,-1.04%,-0.41%,20234,22.0308,23.9805,
November 2016,2.54%,-14.77%,27717,25.7045,27.3712,
December 2016,2.61%,31.05%,12467,27.5676,68.8149,
