Date,All,ACT,NSW,NRT,QSL,SA,TAS,VIC,WA,Other
2016-01-09,402,0,11,47,61,4,3,1,275,0
2012-10-07,2052,0,72,611,511,0,0,0,858,0
2008-01-16,401,0,2,27,10,1,35,1,325,0
2008-01-17,310,0,4,9,28,0,4,1,264,0
2008-01-14,337,0,4,7,13,0,17,0,296,0
2008-01-15,173,0,7,15,0,0,3,2,146,0
2008-01-12,336,0,10,4,5,0,13,2,302,0
2008-01-13,348,0,3,17,15,0,24,1,288,0
2008-01-10,549,0,2,15,0,6,1,18,507,0
2008-01-11,438,0,8,40,1,0,22,4,363,0
2012-10-05,1778,0,134,687,416,11,1,0,529,0
2008-01-18,339,0,0,29,21,0,0,0,289,0
2008-01-19,154,0,0,21,7,0,0,0,126,0
2005-01-19,275,0,15,108,48,0,0,0,104,0
2005-01-18,510,0,20,23,80,2,0,0,385,0
2005-01-17,372,0,11,63,83,0,0,4,211,0
2005-01-16,323,0,9,40,59,0,0,0,215,0
2005-01-15,256,0,19,46,127,0,0,0,64,0
2005-01-14,233,0,33,9,165,0,0,2,24,0
2005-01-13,345,0,39,24,166,3,0,33,80,0
2005-01-12,310,0,41,5,164,7,0,1,92,0
2005-01-11,587,0,29,31,139,314,0,22,52,0
2005-01-10,209,0,26,34,91,1,0,0,57,0
2015-01-09,116,0,7,0,33,0,0,0,76,0
2015-01-08,130,0,15,0,40,0,0,0,75,0
2015-01-07,318,0,34,0,49,1,0,14,220,0
2015-01-06,460,0,2,0,22,0,0,8,428,0
2015-01-05,352,0,4,0,22,6,0,1,319,0
2015-01-04,259,0,5,0,10,35,0,10,199,0
2015-01-03,321,0,19,0,54,72,0,0,176,0
2015-01-02,163,0,3,0,14,65,0,22,59,0
2015-01-01,102,0,0,0,38,0,0,0,64,0
2013-06-01,308,0,0,231,13,0,0,0,64,0
2013-06-02,180,0,1,60,94,0,1,0,24,0
2013-06-03,338,0,0,276,13,0,4,0,45,0
2013-06-04,316,0,19,153,62,0,2,0,80,0
2013-06-05,264,0,2,195,12,0,0,1,54,0
2013-06-06,111,0,1,64,30,0,0,0,16,0
2013-06-07,312,0,7,258,4,0,0,0,43,0
2013-06-08,312,0,5,209,9,1,0,1,87,0
2013-06-09,166,0,22,80,27,0,0,2,35,0
2001-08-18,945,0,22,675,86,0,0,0,162,0
2001-08-19,663,0,32,164,229,1,0,0,237,0
2001-08-10,461,0,20,91,165,1,0,1,183,0
2001-08-11,750,0,0,494,125,0,0,0,131,0
2001-08-12,624,0,3,195,169,0,0,1,256,0
2001-08-13,933,0,6,617,159,4,0,3,144,0
2001-08-14,910,0,39,477,96,0,0,5,293,0
2001-08-15,694,0,15,302,286,6,0,0,85,0
2001-08-16,1279,0,41,867,76,3,0,0,292,0
2001-08-17,512,0,17,139,198,8,0,0,150,0
2014-03-13,258,0,99,2,11,11,18,2,115,0
2014-03-12,189,0,11,0,30,17,3,9,119,0
2001-12-11,229,0,37,2,141,0,0,0,49,0
2001-12-10,80,0,0,14,25,0,0,0,41,0
2014-03-17,295,4,41,2,57,7,1,0,183,0
2014-03-16,321,0,13,0,60,0,0,2,246,0
2014-03-15,210,0,2,3,39,1,0,3,162,0
2014-03-14,181,0,23,0,20,8,0,5,125,0
2014-03-19,492,0,98,5,38,23,0,8,320,0
2014-03-18,444,1,86,13,46,21,8,0,269,0
2012-03-11,55,0,12,8,10,7,0,13,5,0
2005-05-19,1236,0,96,618,40,192,17,82,191,0
2005-05-18,663,0,100,282,94,54,16,36,81,0
2012-03-10,69,0,28,14,4,7,1,3,12,0
2005-05-13,677,6,54,198,175,26,33,18,167,0
2005-05-12,866,18,90,255,25,120,18,37,303,0
2005-05-11,463,13,135,80,4,69,5,22,135,0
2005-05-10,566,13,87,151,8,120,5,34,148,0
2005-05-17,870,0,63,447,92,31,17,44,176,0
2012-03-13,225,0,35,6,6,49,18,89,22,0
2005-05-15,588,0,26,276,62,1,0,8,215,0
2005-05-14,720,8,73,352,76,0,5,26,180,0
2012-03-12,118,0,11,3,8,3,1,41,51,0
2012-03-14,124,0,36,3,0,0,6,40,39,0
2012-03-17,46,0,6,12,0,5,0,6,17,0
2012-03-16,43,0,9,0,1,3,0,0,30,0
2004-07-18,745,0,20,512,65,0,0,0,148,0
2004-07-19,911,0,21,540,69,1,1,0,279,0
2004-07-14,699,0,72,422,91,3,4,1,106,0
2004-07-15,513,0,54,206,138,3,0,0,112,0
2004-07-16,598,0,77,317,81,0,0,3,120,0
2004-07-17,566,0,19,378,50,0,0,0,119,0
2004-07-10,549,0,2,330,64,4,0,2,147,0
2004-07-11,293,0,4,144,39,0,0,0,106,0
2004-07-12,389,0,11,201,31,0,2,1,143,0
2004-07-13,347,0,27,109,101,0,3,0,107,0
2006-12-18,1606,0,72,349,243,2,79,697,164,0
2006-12-19,806,0,56,202,367,0,17,75,89,0
2006-12-10,1440,1,134,201,138,25,59,487,395,0
2006-12-11,1587,0,114,176,106,21,123,799,248,0
2006-12-12,1188,0,76,90,281,22,82,491,146,0
2006-12-13,1458,0,18,234,234,11,77,666,218,0
2006-12-14,1388,0,4,65,322,0,53,817,127,0
2006-12-15,797,0,32,117,378,0,115,47,108,0
2006-12-16,660,0,51,89,294,0,22,54,150,0
2006-12-17,1405,0,79,195,563,1,27,381,159,0
2017-06-28,329,0,2,176,62,1,0,0,88,0
2017-06-29,277,0,12,91,54,0,0,0,120,0
2017-06-22,517,0,54,132,222,3,0,3,103,0
2017-06-23,569,0,49,323,86,0,0,2,109,0
2017-06-20,680,0,72,196,253,3,0,12,144,0
2017-06-21,1088,0,50,780,74,7,0,3,174,0
2017-06-26,357,0,37,218,26,0,0,0,76,0
2017-06-27,564,0,4,164,305,2,0,0,89,0
2017-06-24,375,0,39,93,91,0,0,0,152,0
2017-06-25,383,0,29,258,33,1,0,1,61,0
2011-08-26,1689,0,41,1156,142,4,0,2,344,0
2011-08-27,1211,0,11,858,99,4,0,1,238,0
2011-08-24,2027,0,26,1371,193,2,0,7,428,0
2011-08-25,1839,1,59,1107,430,0,0,4,238,0
2011-08-22,1795,0,18,1090,251,2,0,0,434,0
2011-08-23,2172,0,31,1644,238,4,1,2,252,0
2011-08-20,1408,0,2,641,403,1,0,0,361,0
2011-08-21,1889,0,9,1316,191,0,0,1,372,0
2011-08-28,1932,0,21,1449,198,3,0,5,256,0
2011-08-29,2152,0,22,1026,815,3,0,0,286,0
2017-11-01,1947,0,38,614,443,0,0,0,852,0
2017-11-02,2499,0,29,1451,306,0,0,0,713,0
2017-11-03,2441,0,26,998,348,2,0,2,1065,0
2017-11-04,2342,1,7,1148,317,0,0,1,868,0
2017-11-05,2543,0,4,1195,294,2,7,5,1036,0
2017-11-06,1539,0,6,568,568,2,1,0,394,0
2017-11-07,1765,0,17,231,266,20,4,0,1227,0
2017-11-08,1565,0,18,107,444,2,0,0,994,0
2017-11-09,1930,0,28,860,112,1,16,16,897,0
2004-03-18,284,0,81,0,27,33,2,48,93,0
2004-03-19,209,0,94,1,9,19,4,28,54,0
2004-03-10,220,0,82,6,34,4,24,3,67,0
2004-03-11,139,0,16,5,15,13,1,19,70,0
2004-03-12,118,0,6,7,12,1,15,16,61,0
2004-03-13,154,0,24,3,12,3,10,20,82,0
2004-03-14,79,0,6,0,7,0,28,31,7,0
2004-03-15,116,0,24,0,8,39,1,39,5,0
2004-03-16,197,0,84,0,16,20,28,33,16,0
2004-03-17,369,0,122,0,23,52,27,28,117,0
2007-11-25,1444,0,0,263,323,1,5,2,850,0
2007-11-24,1050,0,2,177,422,0,25,14,410,0
2007-11-27,1231,0,3,286,285,1,2,0,654,0
2007-11-26,1818,0,0,229,264,0,6,1,1318,0
2007-11-21,1041,0,19,100,380,2,0,0,540,0
2007-11-20,1031,0,29,44,375,0,0,10,573,0
2007-11-23,999,0,1,276,368,0,4,4,346,0
2007-11-22,1024,0,5,76,592,0,0,0,351,0
2007-11-29,1085,0,4,100,149,19,0,0,813,0
2007-11-28,1251,0,3,200,109,2,2,0,935,0
2007-01-08,219,0,5,22,67,0,4,113,8,0
2007-01-09,419,0,9,0,43,5,2,317,43,0
2007-01-02,256,0,4,34,179,0,0,1,38,0
2007-01-03,290,0,34,109,93,0,0,37,17,0
2007-01-01,167,0,3,50,70,9,0,0,35,0
2007-01-06,262,0,11,53,161,0,0,23,14,0
2007-01-07,261,0,7,15,40,0,0,187,12,0
2007-01-04,306,0,8,39,167,0,10,74,8,0
2007-01-05,428,0,25,77,110,0,0,208,8,0
2008-05-30,550,0,18,246,38,2,3,1,242,0
2008-05-31,643,0,19,457,10,4,1,2,150,0
2015-02-08,277,0,17,4,19,0,3,2,232,0
2015-02-09,167,0,10,0,30,2,0,6,119,0
2015-02-06,331,0,22,6,43,1,0,0,259,0
2015-02-07,281,0,14,0,12,0,0,0,255,0
2015-02-04,913,0,11,1,91,0,0,0,810,0
2015-02-05,376,0,5,7,50,0,3,0,311,0
2015-02-02,209,0,8,0,79,1,1,0,120,0
2015-02-03,180,0,22,19,86,0,0,0,53,0
2015-02-01,266,0,8,2,40,0,2,0,214,0
2012-09-26,2710,0,107,1086,515,13,0,1,988,0
2012-09-27,2344,0,58,737,415,47,8,9,1070,0
2012-09-24,2564,0,55,1344,321,3,0,0,841,0
2012-09-25,2517,0,74,735,569,8,0,4,1127,0
2012-09-22,2984,0,41,1305,243,6,0,5,1384,0
2012-09-23,2421,0,92,733,681,4,0,0,911,0
2012-09-20,3153,0,20,1270,394,3,0,5,1461,0
2012-09-21,3231,0,55,1023,589,8,0,0,1556,0
2014-07-31,490,0,105,224,101,0,0,4,56,0
2014-07-30,396,0,75,113,166,0,0,0,42,0
2012-09-28,2059,0,74,924,606,12,0,0,443,0
2012-09-29,2054,0,12,583,115,16,0,0,1328,0
2004-12-18,1168,0,6,310,203,0,0,1,647,1
2004-12-19,1169,0,16,246,159,2,3,0,743,0
2004-12-12,822,0,0,156,66,0,2,1,597,0
2004-12-13,928,0,4,82,186,0,0,0,656,0
2004-12-10,1054,0,5,512,6,0,0,0,531,0
2004-12-11,667,0,2,236,82,1,0,0,346,0
2004-12-16,1136,0,3,327,118,1,0,4,683,0
2004-12-17,1251,0,27,302,120,7,0,6,789,0
2004-12-14,1133,0,32,323,151,1,0,0,626,0
2004-12-15,1231,0,41,113,415,2,0,0,660,0
2016-10-20,506,0,42,18,369,1,0,0,76,0
2016-10-21,433,0,13,14,200,0,0,0,206,0
2016-10-22,362,0,4,4,211,0,0,1,142,0
2016-10-23,302,0,9,25,50,0,0,0,218,0
2016-10-24,420,0,36,61,114,6,1,4,198,0
2016-10-25,409,0,74,23,160,1,2,3,146,0
2016-10-26,396,0,35,23,163,3,5,0,167,0
2016-10-27,562,0,18,21,364,5,0,0,154,0
2016-10-28,569,0,23,83,289,3,9,3,159,0
2016-10-29,666,0,22,48,509,1,3,4,79,0
2001-04-14,374,0,0,239,48,1,4,5,77,0
2001-04-15,300,0,23,107,32,0,1,11,126,0
2001-04-16,262,0,5,122,61,0,10,7,57,0
2001-04-17,286,1,42,112,11,4,8,13,95,0
2001-04-10,603,0,22,402,4,0,7,6,162,0
2001-04-11,398,0,30,94,64,11,0,1,198,0
2001-04-12,803,0,37,554,101,5,3,3,100,0
2001-04-13,304,0,42,39,56,3,12,15,137,0
2001-04-18,336,0,48,30,79,29,0,37,113,0
2001-04-19,271,0,64,102,25,3,2,4,71,0
2012-11-16,1999,0,27,373,797,44,0,0,758,0
2012-11-17,2443,0,135,334,938,118,0,0,918,0
2015-09-10,1305,0,44,877,137,3,7,0,237,0
2015-09-11,976,0,24,580,110,1,1,5,255,0
2015-09-12,948,0,39,533,143,2,5,1,225,0
2015-09-13,957,0,28,640,104,0,8,15,162,0
2015-09-14,607,0,64,189,193,3,6,6,146,0
2015-09-15,655,0,82,360,76,2,0,0,135,0
2015-09-16,573,0,36,164,248,0,0,0,125,0
2015-09-17,670,0,32,361,168,0,1,3,105,0
2015-09-18,760,0,27,199,355,4,0,1,174,0
2015-09-19,696,0,7,419,167,2,2,1,98,0
2002-09-18,815,0,32,365,171,26,0,0,221,0
2002-09-19,1065,0,56,313,552,30,0,0,114,0
2014-12-18,548,0,5,51,312,0,0,2,178,0
2002-09-10,650,0,59,174,317,1,0,1,98,0
2002-09-11,919,0,58,407,219,3,1,5,226,0
2002-09-12,819,0,41,173,301,8,0,7,289,0
2002-09-13,283,0,30,122,47,12,0,2,70,0
2002-09-14,509,0,58,124,216,48,0,1,62,0
2002-09-15,1288,0,95,741,218,146,10,11,67,0
2002-09-16,897,0,28,507,219,45,0,0,98,0
2002-09-17,755,0,6,363,178,47,0,0,161,0
2006-04-19,729,0,360,0,22,16,6,53,272,0
2006-04-18,438,0,58,2,50,1,0,23,304,0
2006-04-13,357,0,7,3,5,91,3,28,220,0
2006-04-12,509,0,222,0,16,13,11,76,171,0
2006-04-11,533,1,223,3,33,109,11,63,90,0
2006-04-10,431,0,178,2,50,7,13,2,179,0
2006-04-17,392,0,270,0,16,0,7,14,85,0
2006-04-16,133,0,33,5,40,9,0,18,28,0
2006-04-15,183,0,32,0,14,0,4,0,133,0
2006-04-14,61,0,11,2,14,0,0,0,34,0
2014-12-11,216,0,16,28,90,1,4,7,70,0
2014-12-10,289,0,3,57,92,3,0,0,134,0
2008-06-16,265,0,19,197,28,4,2,2,13,0
2010-09-30,910,0,60,443,266,0,0,0,141,0
2008-01-30,182,0,11,1,53,2,2,0,113,0
2008-01-31,91,0,12,0,44,0,0,0,35,0
2012-05-28,1279,0,14,701,86,2,1,0,475,0
2012-05-29,686,0,15,27,10,4,0,7,623,0
2012-05-22,1456,0,72,583,56,12,0,42,691,0
2012-05-23,889,0,236,149,41,3,0,24,436,0
2012-05-20,1015,0,52,249,36,9,0,6,663,0
2012-05-21,810,0,107,242,34,10,0,27,390,0
2012-05-26,1322,0,1,625,116,2,0,0,578,0
2012-05-27,1042,0,5,387,76,1,0,0,573,0
2012-05-24,997,0,3,98,0,1,0,6,889,0
2012-05-25,694,0,2,114,2,2,0,0,574,0
2001-07-12,239,0,0,134,90,3,0,0,12,0
2003-07-19,409,0,26,186,22,2,0,0,173,0
2003-07-18,219,0,42,52,60,0,1,0,64,0
2003-07-17,323,0,15,133,52,0,3,0,120,0
2003-07-16,247,0,39,70,82,3,0,0,53,0
2003-07-15,444,0,38,176,72,1,0,0,157,0
2003-07-14,440,0,26,211,70,2,0,2,129,0
2003-07-13,458,0,10,164,103,1,0,2,178,0
2003-07-12,308,0,1,163,15,2,0,2,125,0
2003-07-11,215,0,12,58,53,1,0,0,91,0
2003-07-10,312,0,10,113,31,5,0,1,152,0
2003-02-09,378,0,53,7,4,0,3,134,177,0
2008-07-09,985,0,9,788,30,3,0,0,155,0
2006-08-28,1634,0,44,736,221,0,27,1,605,0
2006-08-29,921,0,17,364,282,0,9,0,249,0
2006-08-26,1030,0,29,456,160,0,0,0,385,0
2006-08-27,885,0,31,215,342,0,13,0,284,0
2006-08-24,1062,0,86,450,273,2,2,0,249,0
2006-08-25,1179,0,130,398,427,0,2,0,222,0
2006-08-22,1093,0,154,200,425,0,0,0,314,0
2006-08-23,991,0,90,340,445,0,1,2,113,0
2006-08-20,902,0,85,270,266,1,0,0,280,0
2006-08-21,1247,0,76,759,120,3,0,2,287,0
2007-04-09,180,0,56,21,13,3,30,40,17,0
2007-04-08,145,2,31,54,13,1,1,18,25,0
2010-04-18,176,0,48,4,2,0,19,11,92,0
2010-04-19,652,0,68,50,4,1,48,51,430,0
2010-04-12,152,0,58,6,2,11,5,10,60,0
2010-04-13,320,0,53,0,6,103,10,71,77,0
2010-04-10,291,0,17,3,13,0,4,1,253,0
2010-04-11,132,0,13,0,10,1,1,2,105,0
2010-04-16,471,0,74,8,9,88,19,219,54,0
2010-04-17,308,0,35,7,0,17,18,172,59,0
2010-04-14,250,0,118,25,12,35,11,22,27,0
2010-04-15,556,0,55,26,10,250,19,136,60,0
2006-03-09,80,0,13,4,24,16,8,6,9,0
2006-03-08,139,0,40,0,42,23,8,2,24,0
2006-03-05,34,0,6,5,3,0,2,0,18,0
2006-03-04,65,0,4,1,19,0,4,0,37,0
2006-03-07,86,0,42,0,7,2,4,2,29,0
2006-03-06,50,0,12,7,8,11,8,0,4,0
2006-03-01,52,0,6,4,20,11,4,4,3,0
2006-03-03,68,0,11,11,12,0,8,1,25,0
2006-03-02,36,0,7,6,6,0,6,2,9,0
2003-08-01,543,0,51,177,131,0,0,0,184,0
2003-08-03,438,0,77,106,75,2,0,1,177,0
2003-08-02,620,0,21,269,67,2,0,1,260,0
2003-08-05,193,0,35,36,69,4,0,0,49,0
2003-08-04,458,0,73,150,56,0,0,2,177,0
2003-08-07,244,0,45,112,59,0,0,1,27,0
2003-08-06,261,0,84,84,76,0,0,3,14,0
2003-08-09,246,0,64,112,33,1,0,1,35,0
2003-08-08,259,0,52,129,16,0,0,3,59,0
2006-04-22,352,0,92,31,49,4,4,16,156,0
2017-06-08,891,0,80,248,196,4,0,0,363,0
